CÓDIGO ATUAL,NOME ATUAL,NOME NOVO,PROPOSTA DO DÓRIA
2016-10,JD. DAS OLIVEIRAS – SÃO MIGUEL,JD. DAS OLIVEIRAS – SÃO MIGUEL,MANTIDA
2017-10,JD. ROBRU – SÃO MIGUEL,JD. ROBRU – SÃO MIGUEL,MANTIDA
2018-10,JD. CAMPOS – SÃO MIGUEL,JD. CAMPOS – SÃO MIGUEL,MANTIDA
2019-10,PQ. PAINEIRAS – SHOP. PENHA,,EXTINTA
2020-10,HORTO FLORESTAL – METRÔ PARADA INGLESA,HORTO FLORESTAL – METRÔ PARADA INGLESA,MANTIDA
2021-10,JD. BANDEIRANTES – CPTM GUAIANAZES,JD. BANDEIRANTES – CPTM GUAIANAZES,MANTIDA
2023-10,CACHOEIRA – METRÔ TUCURUVI,CACHOEIRA – METRÔ TUCURUVI,MANTIDA
2024-10,DIB – CACHOEIRA,DIB – CACHOEIRA,MANTIDA
2025-10,VL. NOVA GALVÃO – SANTANA,VL. NOVA GALVÃO – CONEXÃO JAÇANÃ,CORTADA
2026-10,JAÇANÃ – PQ. NOVO MUNDO,JAÇANÃ – PQ. NOVO MUNDO,MANTIDA
2028-10,VL. AYROSA – METRÔ TUCURUVI,VL. AYROSA – CONEXÃO JAÇANÃ,CORTADA
2029-10,JD. FONTÁLIS – METRÔ TUCURUVI,JD. RECANTO VERDE – METRÔ TUCURUVI,CORTADA
2030-10,LAUZANE PAULISTA – METRÔ SANTANA,LAUZANE PAULISTA – METRÔ SANTANA,MANTIDA
2031-10,CID. KEMEL II – TERM. A. E. CARVALHO,CID. KEMEL II – TERM. A. E. CARVALHO,MANTIDA
2032-10,PQ. EDÚ CHAVES – METRÔ CARANDIRU,PQ. EDÚ CHAVES – METRÔ CARANDIRU,MANTIDA
2033-10,JD. GUANCÃ – TERM. ROD. TIETÊ,JD. GUANCÃ – TIETÊ,MANTIDA
2058-10,TERM. SÃO MIGUEL – CPTM GUAIANAZES,,EXTINTA
2059-10,SÃO MIGUEL – CPTM GUAIANAZES,CPTM SÃO MIGUEL – CPTM GUAIANAZES,MANTIDA
2060-10,TERM. A. E. CARVALHO – METRÔ ARTUR ALVIM,TERM. A. E. CARVALHO – METRÔ ARTUR ALVIM,MANTIDA
2076-10,JD. DAS OLIVEIRAS – TERM. PENHA,TERM. SÃO MIGUEL – TERM. PENHA,CORTADA
2079-10,JD. NÉLIA – CPTM ITAIM PAULISTA,JD. NÉLIA – CPTM ITAIM PAULISTA,MANTIDA
2080-10,CID. KEMEL – TERM. ARICANDUVA,CID. KEMEL – TERM. ARICANDUVA,MANTIDA
2088-10,CONJ. ENCOSTA NORTE – TERM. A. E. CARVALHO,CONJ. ENCOSTA NORTE – TERM. A. E. CARVALHO,MANTIDA
208M-10,METRÔ SANTANA – TERM. PINHEIROS,,EXTINTA
